Step,Reward,Smoothed,Trendline_1000,Trendline_10000
0,0,-2.3000000000000007,-7.085210000000002,-60.36070399999998
1,0,-2.4200000000000004,-7.098470000000002,-60.38345699999998
2,0,-2.5500000000000003,-7.111930000000001,-60.40621599999998
3,0,-2.6799999999999997,-7.125610000000001,-60.42898099999998
4,0,-2.82,-7.139520000000001,-60.45175099999997
5,0,-2.96,-7.153660000000001,-60.47452599999998
6,0,-3.1,-7.168040000000001,-60.49730599999998
7,0,-3.24,-7.182670000000002,-60.52009099999998
8,0,-3.39,-7.1975500000000014,-60.54288099999998
9,0,-3.54,-7.212690000000001,-60.56567599999998
10,0,-3.69,-7.228090000000001,-60.58847599999998
11,0,-3.84,-7.243750000000001,-60.61128099999998
12,0,-4.02,-7.259670000000002,-60.63409099999998
13,0,-4.21,-7.275850000000001,-60.65690599999998
14,0,-4.400000000000001,-7.292290000000001,-60.679725999999974
15,0,-4.590000000000001,-7.308990000000001,-60.70255099999998
16,0,-4.780000000000001,-7.325950000000002,-60.72538099999998
17,-3,-4.9700000000000015,-7.3431700000000015,-60.748216999999975
18,-3,-5.170000000000002,-7.360650000000002,-60.77105899999998
19,-3,-5.370000000000001,-7.378390000000002,-60.793906999999976
20,-3,-5.570000000000001,-7.3964000000000025,-60.81676099999997
21,-3,-5.7700000000000005,-7.414680000000001,-60.83962099999997
22,-3,-5.98,-7.433230000000001,-60.86248699999997
23,-3,-6.19,-7.452050000000001,-60.885357999999975
24,-3,-6.4,-7.471140000000001,-60.90823399999998
25,-6,-6.609999999999999,-7.490500000000001,-60.93111499999998
26,-6,-6.840000000000001,-7.510130000000001,-60.95400099999998
27,-6,-7.070000000000001,-7.530030000000002,-60.97689199999998
28,-6,-7.300000000000002,-7.550210000000002,-60.999787999999974
29,-6,-7.530000000000001,-7.570670000000001,-61.02268899999997
30,-6,-7.760000000000002,-7.591410000000001,-61.04559499999998
31,-6,-7.990000000000002,-7.612430000000002,-61.06850599999998
32,-6,-8.22,-7.63372,-61.09142199999998
33,-6,-8.450000000000001,-7.65528,-61.11434299999998
34,-6,-8.680000000000001,-7.6771,-61.137268999999975
35,-7,-8.910000000000002,-7.699180000000002,-61.160199999999975
36,-8,-9.14,-7.721520000000002,-61.183135999999976
37,-8,-9.370000000000001,-7.7441200000000014,-61.20607699999998
38,-8,-9.610000000000001,-7.766980000000001,-61.229022999999984
39,-8,-9.850000000000001,-7.790109999999999,-61.25197399999998
40,-8,-10.090000000000002,-7.81352,-61.27492999999998
41,-8,-10.330000000000002,-7.837199999999999,-61.29789099999998
42,-10,-10.58,-7.86114,-61.320856999999975
43,-11,-10.840000000000002,-7.885340000000001,-61.343826999999976
44,-11,-11.11,-7.909800000000001,-61.36680099999998
45,-11,-11.379999999999999,-7.934520000000001,-61.389778999999976
46,-12,-11.649999999999999,-7.959500000000001,-61.412760999999975
47,-12,-11.919999999999998,-7.984730000000001,-61.43574699999998
48,-12,-12.189999999999998,-8.010200000000001,-61.45873599999998
49,-12,-12.459999999999999,-8.035890000000002,-61.481727999999976
50,-12,-12.729999999999999,-8.061800000000002,-61.50472299999998
51,-13,-12.999999999999998,-8.087920000000002,-61.52772099999998
52,-13,-13.28,-8.114250000000002,-61.55072099999998
53,-14,-13.559999999999999,-8.140780000000001,-61.57372299999998
54,-14,-13.839999999999998,-8.16751,-61.59672699999998
55,-14,-14.109999999999998,-8.194430000000002,-61.61973299999998
56,-14,-14.379999999999999,-8.221540000000001,-61.64274099999998
57,-15,-14.649999999999999,-8.248800000000001,-61.66575099999998
58,-15,-14.91,-8.276210000000003,-61.68876299999998
59,-15,-15.18,-8.30377,-61.711776999999984
60,-15,-15.45,-8.33148,-61.73479299999998
61,-18,-15.72,-8.359340000000003,-61.757810999999975
62,-19,-15.989999999999998,-8.387350000000001,-61.78083099999998
63,-19,-16.27,-8.415510000000001,-61.803852999999975
64,-19,-16.55,-8.44382,-61.82687699999998
65,-19,-16.830000000000002,-8.47227,-61.84990299999998
66,-19,-17.100000000000005,-8.50085,-61.87293099999998
